Date,Close,High,Low,Open,Volume,Ticker,MA7,MA30,MA90,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Daily_Return,Volatility,Price_Range,Volume_Change,Close_Diff1
2020-03-30,6429.841796875,6517.19580078125,5903.234375,5925.53857421875,37101651525,BTC-USD,6456.597726004465,6885.428499348958,8288.01314561632,6332.10090392476,6740.418838884286,-408.3179349595257,-553.4331272584931,145.11519229896737,68.38760245198397,6026.747290039062,7502.74364861745,4550.750931460674,2951.992717156776,8.574723804008189,9.04993485673326,613.96142578125,30.760751624541616,
2020-03-31,6438.64453125,6504.51513671875,6374.162109375,6430.6064453125,32786468812,BTC-USD,6414.289271763393,6814.634847005208,8279.551703559027,6348.492231205566,6718.065186466932,-369.5729552613657,-516.6610928590676,147.08813759770192,66.63333199869679,5953.1080078125,7154.629834043493,4751.586181581506,2403.043652461987,0.13690436954885143,9.050677668468005,130.35302734375,-11.630702504152202,8.802734375
2020-04-01,6606.7763671875,6612.57373046875,6202.37353515625,6437.3193359375,40346426266,BTC-USD,6403.676897321428,6739.205061848958,8275.343994140625,6388.228252125864,6709.82157022401,-321.5933180981465,-477.64753790688343,156.05421980873695,67.9965789009276,6034.907421875,7176.085652535712,4893.729191214288,2282.356461321424,2.6112924097839496,9.03728413963573,410.2001953125,23.05816310182516,168.1318359375
2020-04-02,6793.62451171875,7088.24755859375,6595.91845703125,6606.7763671875,47660646124,BTC-USD,6414.703194754465,6672.7330078125,8269.21888563368,6450.596907447846,6716.029195519917,-265.43228807207106,-435.20448793992097,169.7721998678499,59.922270800514575,6096.403295898437,7262.941475930438,4929.865115866436,2333.076360064002,2.828128789998541,9.057349405484572,492.3291015625,18.1285445451304,186.84814453125
2020-04-03,6733.38720703125,7003.220703125,6673.3359375,6797.396484375,38976504903,BTC-USD,6452.358747209822,6605.337711588541,8261.693668619791,6494.103107383755,6717.314974150387,-223.21186676663183,-392.8059637052632,169.59409693863137,58.655091962017096,6173.054345703125,7292.190494956537,5053.918196449714,2238.272298506823,-0.8866740365705117,9.057804465115181,329.884765625,-18.220779463220527,-60.2373046875
2020-04-04,6867.52734375,6878.95361328125,6696.48486328125,6738.3828125,33185988584,BTC-USD,6541.692103794643,6531.629866536458,8255.651557074652,6551.552989901638,6728.441816342951,-176.88882644131263,-349.62253625247314,172.7337098111605,60.63409221427534,6246.814965820313,7343.5218372437685,5150.108094396857,2193.413742846911,1.992164308903499,9.036530291327033,182.46875,-14.856427823404728,134.14013671875
2020-04-05,6791.12939453125,6883.4140625,6715.92919921875,6862.53759765625,29510409856,BTC-USD,6665.847307477678,6453.915983072917,8244.783892144098,6588.410898306194,6733.085340653195,-144.67444234700088,-308.6329174713787,163.9584751243778,66.39481809806644,6335.647436523437,7290.738266355296,5380.556606691578,1910.1816596637182,-1.1124520572645125,9.035472238384385,167.48486328125,-11.075694547102055,-76.39794921875
2020-04-06,7271.78125,7271.78125,6782.8896484375,6788.0498046875,46896904615,BTC-USD,6786.124372209822,6399.310221354167,8234.873768446181,6693.54479856678,6772.988741345551,-79.44394277877109,-262.79512253285714,183.35117975408605,65.14092595322859,6437.955029296875,7328.58608117927,5547.32397741448,1781.2621037647896,7.0776424294876294,9.133049546612849,488.8916015625,58.91648012968891,480.65185546875
2020-04-07,7176.41455078125,7427.939453125,7136.71435546875,7273.64404296875,44243482668,BTC-USD,6891.520089285715,6368.253499348958,8224.835454644097,6767.8324527536215,6802.872134637084,-35.039681883462436,-217.24403440297823,182.2043525195158,58.486343598115326,6534.853833007813,7286.904695875671,5782.802970139955,1504.1017257357162,-1.3114627068677276,8.984338161834172,291.22509765625,-5.6579895171829815,-95.36669921875
2020-04-08,7334.0986328125,7356.2236328125,7153.3056640625,7179.283203125,37563249549,BTC-USD,6995.423270089285,6348.601969401042,8218.780202907987,6854.950326608834,6842.22224561304,12.728080995793789,-171.24961132322383,183.97769231901762,62.06717652410906,6591.99912109375,7405.294573445867,5778.703668741632,1626.590904704235,2.197254365887824,8.981457040226667,202.91796875,-15.098795836503198,157.68408203125
